drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),very_high
sirolimus,1.11,100.0,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),very_high
docetaxel,1.11,67.55568360478308,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),high
paclitaxel,10.0,67.22379398625223,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),high
vinorelbine,10.0,51.676553128635106,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),high
vinblastine,10.0,50.283191819730824,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),high
NVP-BEZ235,10.0,35.853897518177206,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),moderate
NVP-AUY922,1.11,35.1746970686413,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),moderate
lestaurtinib,10.0,34.97894413703883,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),moderate
methotrexate,10.0,34.68630787628763,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),moderate
epirubicin,10.0,33.280917489803876,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),moderate
camptothecin,1.11,31.82809062927934,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),moderate
gemcitabine,10.0,31.726576023253326,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),moderate
staurosporine,10.0,30.723078207684217,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),moderate
GDC-0941,10.0,30.01976777901772,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),moderate
tanespimycin,10.0,27.086755787577413,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),low
SN-38,1.11,26.523878654221416,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),low
nutlin-3,10.0,26.02374631069453,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),low
topotecan,1.11,23.55460837065944,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),low
lapatinib,10.0,23.534479033607948,KDM5A(36); CDK4(30); CASP3(23); RB1(21); CCL2(21),low
