drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.91108015923588,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),high
docetaxel,10.0,59.484351810592116,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),high
vinorelbine,10.0,51.80240438740685,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),high
vinblastine,10.0,47.310241386613924,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),moderate
methotrexate,10.0,43.49248998519781,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),moderate
temsirolimus,10.0,42.552305128011824,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),moderate
MG-132,10.0,32.855106719649726,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),moderate
lestaurtinib,10.0,28.343984154067826,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
navitoclax,10.0,27.117447977576532,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
lapatinib,10.0,26.54357048258418,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
bortezomib,10.0,25.70227916771985,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
AZD-6482,10.0,23.36238388068984,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
ABT-737,10.0,23.186716943560807,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
foretinib,10.0,22.448523716678643,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
MK-1775,10.0,21.802545311925588,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
staurosporine,10.0,21.40502725755661,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
gemcitabine,10.0,19.766675875028362,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
sorafenib,10.0,18.544441327687846,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
epirubicin,10.0,17.573844048582757,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
nilotinib,10.0,16.06806402711103,CCL2(14); HSPA1A(7); PARP1(7); EGR1(7); KDM5A(7),low
