drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.73563535504839,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),high
docetaxel,10.0,60.308907006404546,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),high
vinorelbine,10.0,52.60501954204084,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),high
vinblastine,10.0,48.11285654124791,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),moderate
temsirolimus,10.0,43.13601789255723,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),moderate
methotrexate,10.0,42.50039049295461,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),moderate
MG-132,10.0,31.895204293037523,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),moderate
lestaurtinib,10.0,29.40454375156446,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
navitoclax,10.0,27.527573893467082,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
lapatinib,10.0,26.290903109015428,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
bortezomib,10.0,25.97920208667404,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
foretinib,10.0,23.96781950817387,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
AZD-6482,10.0,23.651894548550334,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
ABT-737,10.0,23.596842859451357,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
staurosporine,10.0,22.465586855053225,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
MK-1775,10.0,21.787159270606352,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
gemcitabine,10.0,20.135784379700223,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
sorafenib,10.0,19.679242573191978,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
epirubicin,10.0,18.65480025392009,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
nilotinib,10.0,17.58735981860626,HES1(46); CCL2(45); HDAC2(29); CCND1(25); PPARG(20),low
