drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),very_high
sirolimus,1.11,99.41605013117028,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),very_high
docetaxel,1.11,66.60428565180644,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),high
paclitaxel,10.0,65.90851953020983,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),high
vinorelbine,10.0,49.6983334169472,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),moderate
vinblastine,10.0,48.30497210804292,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),moderate
NVP-AUY922,1.11,33.79971726719944,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),moderate
NVP-BEZ235,10.0,33.74205713651615,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),moderate
lestaurtinib,10.0,32.86710375537778,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),moderate
methotrexate,10.0,32.70457854698587,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),moderate
epirubicin,10.0,31.29918816050211,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),moderate
camptothecin,1.11,30.45311082783744,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),moderate
gemcitabine,10.0,30.04090475462254,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),moderate
staurosporine,10.0,28.611237826023157,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),low
GDC-0941,10.0,28.334096510386942,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),low
SN-38,1.11,25.148898852779542,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),low
tanespimycin,10.0,25.1050264582757,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),low
nutlin-3,10.0,24.042016981392816,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),low
topotecan,1.11,22.179628569217567,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),low
lapatinib,10.0,21.982002212666348,CCL2(28); KDM5A(12); PMAIP1(12); PPARG(11); JUN(11),low
