drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.67358257274832,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),high
docetaxel,10.0,59.246854224104574,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),high
vinorelbine,10.0,51.59711221202933,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),high
vinblastine,10.0,47.1049492112364,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),moderate
methotrexate,10.0,43.458677296475145,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),moderate
temsirolimus,10.0,42.799343654417896,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),moderate
MG-132,10.0,32.82129403092706,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),moderate
lestaurtinib,10.0,28.536383432877415,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
navitoclax,10.0,27.309847256386114,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
lapatinib,10.0,26.455118546265027,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
bortezomib,10.0,25.66846647899719,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
ABT-737,10.0,23.37911622237039,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
AZD-6482,10.0,23.30895352976346,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
foretinib,10.0,22.24323154130112,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
MK-1775,10.0,21.73652721209291,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
staurosporine,10.0,21.652065783962676,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
gemcitabine,10.0,19.7328631863057,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
sorafenib,10.0,17.95333258358396,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
epirubicin,10.0,17.820882574988822,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
nilotinib,10.0,15.862771851733498,HES1(20); PPARG(19); EGR1(16); CDK4(13); HSPB1(12),low
