drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),very_high
sirolimus,1.11,100.0,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),very_high
docetaxel,1.11,67.35586828123127,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),high
paclitaxel,10.0,66.66010215963466,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),high
vinorelbine,10.0,50.43161160128006,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),high
vinblastine,10.0,49.03825029237578,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),moderate
NVP-BEZ235,10.0,34.62375081830026,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),moderate
NVP-AUY922,1.11,34.55813339182551,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),moderate
lestaurtinib,10.0,33.74879743716188,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),moderate
methotrexate,10.0,33.456161176410646,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),moderate
epirubicin,10.0,32.05077078992689,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),moderate
camptothecin,1.11,31.204693457262206,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),moderate
gemcitabine,10.0,30.792487384047302,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),moderate
staurosporine,10.0,29.30745033666635,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),low
GDC-0941,10.0,29.030379391682107,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),low
SN-38,1.11,25.900481482204302,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),low
tanespimycin,10.0,25.85660908770046,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),low
nutlin-3,10.0,24.800433106018883,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),low
topotecan,1.11,22.931211198642327,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),low
navitoclax,10.0,22.21491361905705,CCL2(16); HSPB1(16); HDAC6(15); SRC(12); CDK4(8),low
