drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.16447288685941,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),very_high
docetaxel,10.0,60.73774453821565,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),high
vinorelbine,10.0,53.0880025261404,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),high
vinblastine,10.0,48.59583952534747,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),moderate
methotrexate,10.0,45.00431691890177,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),moderate
temsirolimus,10.0,44.0641320617158,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),moderate
MG-132,10.0,34.3669336533537,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),moderate
lestaurtinib,10.0,29.80117184017533,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
navitoclax,10.0,28.57463566368402,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
lapatinib,10.0,28.000758168691675,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
bortezomib,10.0,27.21410610142383,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
AZD-6482,10.0,24.842005403283803,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
ABT-737,10.0,24.643904629668302,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
foretinib,10.0,23.734121855412205,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
MK-1775,10.0,23.282166834519543,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
staurosporine,10.0,22.916854191260583,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
gemcitabine,10.0,21.27850280873234,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
sorafenib,10.0,19.444222897695045,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
epirubicin,10.0,19.08567098228673,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
nilotinib,10.0,17.353662165844593,CCL2(42); RB1(23); EGR1(15); BRCA1(14); PPARG(14),low
