drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),very_high
sirolimus,1.11,100.0,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),very_high
docetaxel,1.11,67.40870912254881,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),high
paclitaxel,10.0,67.07681950401796,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),high
vinorelbine,10.0,51.2665262279206,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),high
vinblastine,10.0,50.14214203050604,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),high
NVP-BEZ235,10.0,35.72764255643052,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),moderate
NVP-AUY922,1.11,35.04844210689461,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),moderate
lestaurtinib,10.0,34.85268917529214,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),moderate
methotrexate,10.0,34.56005291454094,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),moderate
epirubicin,10.0,33.00048392919047,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),moderate
camptothecin,1.11,31.7256617631283,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),moderate
gemcitabine,10.0,31.156445830662594,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),moderate
staurosporine,10.0,30.596823245937514,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),moderate
GDC-0941,10.0,29.83821306914142,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),low
tanespimycin,10.0,26.96050082583071,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),low
SN-38,1.11,26.42144978807032,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),low
nutlin-3,10.0,25.897491348947828,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),low
topotecan,1.11,23.452179504508344,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),low
lapatinib,10.0,23.408224071861245,JUN(45); PPARG(27); EGR1(24); CHEK1(23); RB1(17),low
