drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.9617761488927,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),high
docetaxel,10.0,59.53504780024894,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),high
vinorelbine,10.0,51.853100377063676,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),high
vinblastine,10.0,47.36093737627075,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),moderate
methotrexate,10.0,43.64378563058465,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),moderate
temsirolimus,10.0,42.93500080150327,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),moderate
MG-132,10.0,32.96055201762211,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),moderate
lestaurtinib,10.0,28.709884059328218,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
navitoclax,10.0,27.50334400341968,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
lapatinib,10.0,26.79286096139535,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
bortezomib,10.0,25.853574813106693,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
ABT-737,10.0,23.572612969403956,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
AZD-6482,10.0,23.513679526076675,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
foretinib,10.0,22.56186582198097,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
MK-1775,10.0,21.97063672554347,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
staurosporine,10.0,21.770927162816996,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
gemcitabine,10.0,19.917971520415197,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
sorafenib,10.0,18.326606111860293,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
epirubicin,10.0,17.96014056168386,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
nilotinib,10.0,16.18140613241335,RB1(13); AKT1(12); SRC(11); PPARG(11); PMAIP1(11),low
