drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.1672328155757,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),high
docetaxel,10.0,59.74050446693196,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),high
vinorelbine,10.0,52.331250913648134,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),high
vinblastine,10.0,47.839087912855206,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),moderate
temsirolimus,10.0,43.88382129945146,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),moderate
methotrexate,10.0,43.65395991811726,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),moderate
MG-132,10.0,33.383953245891014,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),moderate
lestaurtinib,10.0,30.42839316972019,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),moderate
navitoclax,10.0,29.222253601069568,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
lapatinib,10.0,26.96678415384585,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
bortezomib,10.0,26.276976041375576,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
ABT-737,10.0,25.29152256705385,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
AZD-6482,10.0,23.799582217737484,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
staurosporine,10.0,23.489436273208934,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
foretinib,10.0,22.709388080341768,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
MK-1775,10.0,22.104548315679857,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
gemcitabine,10.0,19.928145807947786,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
epirubicin,10.0,19.6786496720758,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
sorafenib,10.0,19.119138201343564,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
nilotinib,10.0,16.64276090076675,HES1(26); CCND1(24); RB1(22); KDM5A(16); CASP3(13),low
