drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.38143163910318,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),very_high
docetaxel,10.0,62.9547032904594,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),high
vinorelbine,10.0,54.87634191428131,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),high
vinblastine,10.0,50.593582279997,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),high
methotrexate,10.0,47.54090151055334,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),moderate
temsirolimus,10.0,47.1457838751272,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),moderate
MG-132,10.0,38.212028864269485,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),moderate
lestaurtinib,10.0,34.90354883185071,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),moderate
lapatinib,10.0,32.27826616441215,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),moderate
navitoclax,10.0,32.01530620933692,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),moderate
bortezomib,10.0,31.30411976426922,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),moderate
staurosporine,10.0,28.245708225233496,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),low
AZD-6482,10.0,28.169926698254763,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),low
ABT-737,10.0,28.08457517532124,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),low
MK-1775,10.0,26.636920216327265,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),low
foretinib,10.0,26.579454708354117,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),low
gemcitabine,10.0,25.102637299851946,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),low
epirubicin,10.0,24.417747014038238,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),low
sorafenib,10.0,23.213944556385982,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),low
tanespimycin,10.0,21.040832286977317,CCL2(32); RB1(16); AKT1(14); ABL1(11); CHEK1(10),low
