drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),very_high
sirolimus,1.11,99.64298349245323,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),very_high
docetaxel,1.11,66.80551968128313,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),high
paclitaxel,10.0,66.10975355968652,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),high
vinorelbine,10.0,49.89605782881005,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),moderate
vinblastine,10.0,48.50269651990577,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),moderate
NVP-BEZ235,10.0,34.576932537825776,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),moderate
NVP-AUY922,1.11,34.00095129667609,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),moderate
methotrexate,10.0,33.40934289593616,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),moderate
lestaurtinib,10.0,33.212334263623816,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),moderate
epirubicin,10.0,31.514307616388813,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),moderate
gemcitabine,10.0,30.759554529982864,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),moderate
camptothecin,1.11,30.703870284715958,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),moderate
staurosporine,10.0,28.85086663556433,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),low
GDC-0941,10.0,28.535330539863608,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),low
tanespimycin,10.0,25.80979080722599,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),low
SN-38,1.11,25.39965830965806,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),low
nutlin-3,10.0,24.7467813303431,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),low
topotecan,1.11,22.430388026096086,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),low
navitoclax,10.0,22.16486541287158,CHEK1(20); KDM5A(15); AXIN1(13); RB1(12); PPARG(12),low
