drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.45313940360306,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),high
docetaxel,10.0,60.026411054959254,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),high
vinorelbine,10.0,51.78267666860226,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),high
vinblastine,10.0,47.29051366780933,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),moderate
methotrexate,10.0,43.86854267680148,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),moderate
temsirolimus,10.0,43.24354354891193,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),moderate
MG-132,10.0,33.392453620116115,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),moderate
lestaurtinib,10.0,29.221643921879267,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
navitoclax,10.0,27.433320782216224,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
lapatinib,10.0,27.25229135983854,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
bortezomib,10.0,26.299087720402557,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
AZD-6482,10.0,23.959192433372547,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
ABT-737,10.0,23.5025897482005,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
foretinib,10.0,23.331614063138506,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
MK-1775,10.0,22.451804536963635,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
staurosporine,10.0,22.282687025368052,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
gemcitabine,10.0,20.523863033333857,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
sorafenib,10.0,19.30634082989409,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
epirubicin,10.0,18.56341614096586,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
nilotinib,10.0,16.722035596049835,CCL2(21); EGR1(20); KDM5A(15); CHEK1(14); HSPB1(8),low
