drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.29327273830258,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),high
docetaxel,10.0,59.8665443896588,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),high
vinorelbine,10.0,52.184596966473535,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),high
vinblastine,10.0,47.69243396568061,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),moderate
methotrexate,10.0,43.92943187258005,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),moderate
temsirolimus,10.0,43.24970162268208,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),moderate
MG-132,10.0,33.29204860703197,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),moderate
lestaurtinib,10.0,29.0413806487381,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
navitoclax,10.0,27.835241080087513,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
lapatinib,10.0,26.980512369966426,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
bortezomib,10.0,26.139221055102112,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
ABT-737,10.0,23.90451004607179,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
AZD-6482,10.0,23.799325768072094,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
foretinib,10.0,22.83071629574534,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
MK-1775,10.0,22.239487199307842,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
staurosporine,10.0,22.10242375222688,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
gemcitabine,10.0,20.203617762410616,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
sorafenib,10.0,18.595456585624664,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
epirubicin,10.0,18.291637151093745,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
nilotinib,10.0,16.45025660617772,ABL1(14); EGR1(13); PPARG(13); PMAIP1(12); RB1(11),low
