drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),very_high
sirolimus,1.11,100.0,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),very_high
docetaxel,1.11,67.50244985945237,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),high
paclitaxel,10.0,66.80668373785576,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),high
vinorelbine,10.0,50.57819317950111,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),high
vinblastine,10.0,49.18483187059683,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),moderate
NVP-BEZ235,10.0,34.78761356395137,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),moderate
NVP-AUY922,1.11,34.69788147484525,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),moderate
lestaurtinib,10.0,33.91266018281299,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),moderate
methotrexate,10.0,33.6027427546317,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),moderate
epirubicin,10.0,32.21463353557804,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),moderate
camptothecin,1.11,31.368556202913357,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),moderate
gemcitabine,10.0,30.95635012969846,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),moderate
staurosporine,10.0,29.63951308602836,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),low
GDC-0941,10.0,29.249541885462854,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),low
SN-38,1.11,26.064344227855454,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),low
tanespimycin,10.0,26.00319066592156,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),low
nutlin-3,10.0,24.957462356468728,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),low
topotecan,1.11,23.09507394429348,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),low
lapatinib,10.0,22.45091391195209,PMAIP1(17); HSPB1(17); CDK4(13); CASP3(12); RB1(12),low
