drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.05620771966701,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),very_high
sirolimus,1.11,97.79140686984998,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),very_high
paclitaxel,10.0,65.07176933151862,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),high
docetaxel,1.11,64.97367865855011,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),high
vinorelbine,10.0,49.0880564361377,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),moderate
vinblastine,10.0,47.69469512723341,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),moderate
methotrexate,10.0,33.63707318441718,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),moderate
NVP-AUY922,1.11,33.534764545304974,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),moderate
NVP-BEZ235,10.0,33.489910666593865,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),moderate
lestaurtinib,10.0,32.21136672069489,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),moderate
epirubicin,10.0,31.67391363430612,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),moderate
gemcitabine,10.0,30.819220793187153,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),moderate
camptothecin,1.11,30.213857437749276,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),moderate
staurosporine,10.0,29.67384351581382,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),low
GDC-0941,10.0,28.807700834928067,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),low
tanespimycin,10.0,26.017785495836776,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),low
nutlin-3,10.0,24.92360950717515,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),low
SN-38,1.11,24.909645462691373,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),low
lapatinib,10.0,22.914496850097667,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),low
navitoclax,10.0,22.3958256270636,AKT1(35); CASP3(24); AXIN1(21); SRC(20); CHEK1(17),low
