drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.61317458586196,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),high
docetaxel,10.0,60.18644623721816,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),high
vinorelbine,10.0,53.14244230913276,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),high
vinblastine,10.0,48.650279308339826,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),moderate
temsirolimus,10.0,44.07642154937947,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),moderate
methotrexate,10.0,43.846560168045265,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),moderate
MG-132,10.0,33.57655349581901,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),moderate
lestaurtinib,10.0,30.62099341964821,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),moderate
navitoclax,10.0,28.893825957685905,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
lapatinib,10.0,27.159384403773856,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
bortezomib,10.0,26.469576291303575,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
ABT-737,10.0,24.96309492367018,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
AZD-6482,10.0,23.959977056555473,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
staurosporine,10.0,23.682036523136947,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
foretinib,10.0,22.999551582514705,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
MK-1775,10.0,21.93189894040945,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
gemcitabine,10.0,20.12074605787579,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
sorafenib,10.0,19.930329596828177,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
epirubicin,10.0,19.871249922003813,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
nilotinib,10.0,17.453952296251362,CCL2(28); HMGCR(25); KDM5A(22); RB1(18); HSPA1A(17),low
