drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.09869451919809,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),high
docetaxel,10.0,59.67196617055428,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),high
vinorelbine,10.0,52.35526837256744,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),high
vinblastine,10.0,47.8631053717745,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),moderate
temsirolimus,10.0,44.83221108923834,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),moderate
methotrexate,10.0,44.216833457013244,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),moderate
MG-132,10.0,33.57945019146516,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),moderate
lestaurtinib,10.0,30.56925086769788,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),moderate
navitoclax,10.0,28.8420834057356,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
lapatinib,10.0,27.21327470680314,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
bortezomib,10.0,26.426622639535296,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
ABT-737,10.0,24.911352371719882,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
AZD-6482,10.0,24.05452194139527,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
staurosporine,10.0,23.684933218783133,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
foretinib,10.0,22.480359808527552,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
MK-1775,10.0,22.161639158542613,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
gemcitabine,10.0,20.4910193468438,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
epirubicin,10.0,19.87414661764999,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
sorafenib,10.0,19.042666065251947,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
nilotinib,10.0,16.620928012271616,CCL2(20); EGR1(18); AKT1(13); PPARG(12); PMAIP1(11),low
