drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.81943251172655,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),high
docetaxel,10.0,60.392704163082804,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),high
vinorelbine,10.0,52.71075673989754,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),high
vinblastine,10.0,48.21859373910461,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),moderate
temsirolimus,10.0,45.24244876488401,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),moderate
methotrexate,10.0,44.67292148007338,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),moderate
MG-132,10.0,33.98968786711083,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),moderate
lestaurtinib,10.0,30.979488543343546,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),moderate
navitoclax,10.0,29.669960948457167,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
lapatinib,10.0,27.284868183872177,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
bortezomib,10.0,26.88271066259543,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
ABT-737,10.0,25.73922991444144,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
AZD-6482,10.0,24.54281537556541,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
staurosporine,10.0,24.095170894428794,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
foretinib,10.0,23.402726416583803,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
MK-1775,10.0,22.59848226081007,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
gemcitabine,10.0,20.94710736990394,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
epirubicin,10.0,20.28438429329566,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
sorafenib,10.0,19.059510234005426,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
nilotinib,10.0,17.022266727016184,CCL2(15); HES1(13); HSPB1(13); CCND1(11); SRC(10),low
