drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,73.08824531442778,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),very_high
docetaxel,10.0,63.661516965784024,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),high
vinorelbine,10.0,55.46527471520158,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),high
vinblastine,10.0,51.18251508091727,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),high
methotrexate,10.0,48.58891159962437,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),moderate
temsirolimus,10.0,47.19565632119342,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),moderate
MG-132,10.0,38.80096166518975,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),moderate
lestaurtinib,10.0,34.5143609436968,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),moderate
lapatinib,10.0,33.06453251514093,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),moderate
bortezomib,10.0,31.938902912603933,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),moderate
navitoclax,10.0,31.543126902787982,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),moderate
AZD-6482,10.0,28.92259072099385,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),low
staurosporine,10.0,27.856520337079576,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),low
ABT-737,10.0,27.612395868772264,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),low
MK-1775,10.0,27.389584239066345,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),low
foretinib,10.0,27.21423785668884,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),low
gemcitabine,10.0,26.15064738892295,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),low
epirubicin,10.0,24.04895573372503,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),low
sorafenib,10.0,23.848727704720705,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),low
tanespimycin,10.0,21.629765087897574,CCL2(30); EGR1(18); PMAIP1(16); HSPB1(16); CDK4(15),low
