drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.34967075131647,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),very_high
docetaxel,10.0,61.160818391166096,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),high
vinorelbine,10.0,55.25126034941896,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),high
vinblastine,10.0,50.759097348626035,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),high
temsirolimus,10.0,46.400633283513,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),moderate
methotrexate,10.0,45.748210115679306,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),moderate
MG-132,10.0,35.143023915762264,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),moderate
lestaurtinib,10.0,32.59772412669277,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),moderate
lapatinib,10.0,29.966572863559094,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
bortezomib,10.0,29.227021709398752,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
navitoclax,10.0,28.95822976983079,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
AZD-6482,10.0,26.85492101125873,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
staurosporine,10.0,25.713406477777937,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
MK-1775,10.0,25.404063796443193,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
ABT-737,10.0,25.027498735815072,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
foretinib,10.0,24.868732072276497,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
gemcitabine,10.0,23.383604002424928,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
sorafenib,10.0,22.672134447195774,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
epirubicin,10.0,21.902619876644795,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
nilotinib,10.0,20.250396394215443,HES1(51); PPARG(35); RB1(17); CCND1(16); SRC(14),low
