drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),very_high
sirolimus,1.11,99.66109016980835,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),very_high
docetaxel,1.11,66.82177267475562,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),high
paclitaxel,10.0,66.12600655315902,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),high
vinorelbine,10.0,50.11562068423044,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),high
vinblastine,10.0,48.72225937532616,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),moderate
NVP-BEZ235,10.0,34.11037473231221,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),moderate
NVP-AUY922,1.11,34.04475730583746,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),moderate
lestaurtinib,10.0,33.235421351173834,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),moderate
methotrexate,10.0,32.942785090422596,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),moderate
epirubicin,10.0,31.537394703938826,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),moderate
camptothecin,1.11,30.71514346686977,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),moderate
gemcitabine,10.0,30.258391777571678,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),moderate
staurosporine,10.0,28.97955542181922,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),low
GDC-0941,10.0,28.517003305694065,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),low
SN-38,1.11,25.410931491811866,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),low
tanespimycin,10.0,25.343233001712424,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),low
nutlin-3,10.0,24.28705702003084,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),low
topotecan,1.11,22.44166120824989,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),low
lapatinib,10.0,21.79095624774295,JUN(22); PPARG(20); CCL2(17); KDM5A(10); EGR1(9),low
