drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),very_high
temsirolimus,0.37,100.0,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),very_high
docetaxel,1.11,68.81932442358625,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),high
paclitaxel,10.0,68.12355830198965,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),high
vinorelbine,10.0,55.14635972889959,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),high
vinblastine,10.0,54.02197553148503,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),high
NVP-BEZ235,10.0,40.68319300635026,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
NVP-AUY922,1.11,39.66225639357746,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
camptothecin,1.11,36.93330096669819,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
methotrexate,10.0,35.724829933133265,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
lestaurtinib,10.0,35.692693510871344,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
GDC-0941,10.0,35.262742926621904,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
epirubicin,10.0,33.99466686363641,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
gemcitabine,10.0,32.874245382524,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
SN-38,1.11,32.13284501714411,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
staurosporine,10.0,31.419546414086682,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),moderate
nutlin-3,10.0,29.016320339461146,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),low
topotecan,1.11,28.83274005496794,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),low
tanespimycin,10.0,28.191046950854144,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),low
BI-2536,1.11,27.96541745815972,CCL2(64); JUN(42); RB1(28); PPARG(27); CHEK1(23),low
