drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.23374543640911,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),very_high
docetaxel,10.0,60.80701708776529,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),high
vinorelbine,10.0,53.64040557529282,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),high
vinblastine,10.0,49.14824257449988,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),moderate
methotrexate,10.0,44.89135294123635,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),moderate
temsirolimus,10.0,44.13993895044009,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),moderate
MG-132,10.0,34.6213462690101,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),moderate
lestaurtinib,10.0,30.316039063119728,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),moderate
navitoclax,10.0,28.588871601157457,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
lapatinib,10.0,28.149537929368485,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
bortezomib,10.0,27.514369064494687,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
AZD-6482,10.0,24.992182080840273,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
ABT-737,10.0,24.65814056714174,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
foretinib,10.0,23.81134735866739,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
staurosporine,10.0,23.43172141420499,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
MK-1775,10.0,23.099299297987617,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
gemcitabine,10.0,21.16553883106689,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
sorafenib,10.0,20.373653615391785,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
epirubicin,10.0,19.620934813071848,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
nilotinib,10.0,17.951915562411454,RB1(26); EGR1(13); AURKB(12); CCL2(12); AKT1(12),low
