drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.66201239635713,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),very_high
sirolimus,1.11,98.39721154654009,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),very_high
docetaxel,1.11,65.5474463792586,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),high
paclitaxel,10.0,64.85168025766208,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),high
vinorelbine,10.0,48.643909219794985,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),moderate
vinblastine,10.0,47.2505479108907,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),moderate
NVP-AUY922,1.11,34.07834967485203,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),moderate
methotrexate,10.0,33.38680151939907,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),moderate
NVP-BEZ235,10.0,33.25692016900584,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),moderate
lestaurtinib,10.0,31.978376223106846,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),moderate
epirubicin,10.0,31.59510173558477,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),moderate
camptothecin,1.11,30.749024402920107,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),moderate
gemcitabine,10.0,30.71968937397822,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),moderate
staurosporine,10.0,29.423571850795714,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),low
GDC-0941,10.0,28.574710337340008,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),low
tanespimycin,10.0,25.787249430688902,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),low
SN-38,1.11,25.444812427862203,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),low
nutlin-3,10.0,24.741521121236076,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),low
lapatinib,10.0,22.66422518507956,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),low
topotecan,1.11,22.475542144300228,PPARG(23); GATA3(17); EGR1(15); AKT1(14); PMAIP1(10),low
