drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.71352670539054,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),high
docetaxel,10.0,59.28679835674675,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),high
vinorelbine,10.0,51.63705634467151,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),high
vinblastine,10.0,47.14489334387858,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),moderate
methotrexate,10.0,43.38189125077802,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),moderate
temsirolimus,10.0,42.441706393592035,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),moderate
MG-132,10.0,32.74450798522994,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),moderate
lestaurtinib,10.0,28.233385419648037,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
navitoclax,10.0,27.006849243156736,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
lapatinib,10.0,26.43297174816439,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
bortezomib,10.0,25.59168043330007,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
AZD-6482,10.0,23.23216748406634,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
ABT-737,10.0,23.07611820914101,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
foretinib,10.0,22.283175673943298,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
MK-1775,10.0,21.659741166395783,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
staurosporine,10.0,21.294428523136816,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
gemcitabine,10.0,19.656077140608573,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
sorafenib,10.0,18.3790932849525,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
epirubicin,10.0,17.463245314162968,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
nilotinib,10.0,15.902715984375678,SRC(21); EGR1(17); PPARG(14); CHEK1(12); AKT1(10),low
