drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.9601158782898,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),high
docetaxel,10.0,60.533387529645985,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),high
vinorelbine,10.0,53.31735727486776,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),high
vinblastine,10.0,48.825194274074825,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),moderate
temsirolimus,10.0,43.875647323450124,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),moderate
methotrexate,10.0,43.768456693713645,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),moderate
MG-132,10.0,33.20912084121104,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),moderate
lestaurtinib,10.0,30.40336644485348,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),moderate
navitoclax,10.0,27.984972085603683,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
lapatinib,10.0,27.888824608169084,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
bortezomib,10.0,27.247268287433112,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
AZD-6482,10.0,24.887755338199362,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
ABT-737,10.0,24.054241051587965,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
foretinib,10.0,23.79944649028206,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
staurosporine,10.0,23.519048795938705,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
MK-1775,10.0,22.951862807771004,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
gemcitabine,10.0,21.40385058045926,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
sorafenib,10.0,20.675585256999057,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
epirubicin,10.0,19.68786558696485,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
nilotinib,10.0,18.253847204018726,EGR1(23); PPARG(23); HES1(19); CCL2(17); HDAC2(14),low
