drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,0.37,100.0,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),very_high
temsirolimus,1.11,100.0,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),very_high
paclitaxel,10.0,67.80794940735484,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),high
docetaxel,1.11,67.70985873438634,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),high
vinorelbine,10.0,50.343935951802294,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),high
vinblastine,10.0,48.950574642898005,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
NVP-AUY922,1.11,37.17113799898006,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
NVP-BEZ235,10.0,37.089279327421316,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
lestaurtinib,10.0,35.710795626809315,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
epirubicin,10.0,35.45763219164664,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
methotrexate,10.0,35.11611319681519,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
gemcitabine,10.0,34.1526540261856,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
camptothecin,1.11,33.48686338580275,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
staurosporine,10.0,33.27321217664133,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
GDC-0941,10.0,32.034274050611984,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),moderate
tanespimycin,10.0,29.216775729838712,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),low
SN-38,1.11,28.51348608935888,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),low
nutlin-3,10.0,27.52573513062497,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),low
dactinomycin,10.0,25.7273923389413,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),low
lapatinib,10.0,25.425622885390762,JUN(32); PPARG(25); EGR1(24); HES1(22); AKT1(13),low
