drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.61560662816484,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),very_high
docetaxel,10.0,63.188878279521006,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),high
vinorelbine,10.0,54.99263602893856,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),high
vinblastine,10.0,50.70987639465425,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),high
methotrexate,10.0,48.23300309170065,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),moderate
temsirolimus,10.0,46.85654358150075,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),moderate
MG-132,10.0,38.44505315726604,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),moderate
lestaurtinib,10.0,34.10381318817661,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),moderate
lapatinib,10.0,32.75197959304509,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),moderate
bortezomib,10.0,31.58299440468027,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),moderate
navitoclax,10.0,31.235566686245626,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),moderate
AZD-6482,10.0,28.56668221307015,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),low
staurosporine,10.0,27.500611829155876,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),low
ABT-737,10.0,27.304835652229908,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),low
MK-1775,10.0,27.050471499373693,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),low
foretinib,10.0,26.758394938656885,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),low
gemcitabine,10.0,25.794738880999247,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),low
epirubicin,10.0,23.69304722580133,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),low
sorafenib,10.0,23.007068217962388,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),low
tanespimycin,10.0,21.273856579973867,CCL2(34); PMAIP1(16); RB1(12); HSPA1A(12); HIF1A(12),low
