drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.74938069130015,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),high
docetaxel,10.0,59.322652342656404,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),high
vinorelbine,10.0,51.67291033058116,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),high
vinblastine,10.0,47.18074732978823,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),moderate
methotrexate,10.0,43.41774523668767,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),moderate
temsirolimus,10.0,42.45716377166097,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),moderate
MG-132,10.0,32.78036197113959,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),moderate
lestaurtinib,10.0,28.248842797716957,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
navitoclax,10.0,27.04270322906637,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
lapatinib,10.0,26.468825734074024,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
bortezomib,10.0,25.627534419209695,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
AZD-6482,10.0,23.268021469975967,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
ABT-737,10.0,23.111972195050644,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
foretinib,10.0,22.31902965985293,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
MK-1775,10.0,21.695595152305415,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
staurosporine,10.0,21.309885901205735,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
gemcitabine,10.0,19.691931126518206,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
sorafenib,10.0,18.083769949732254,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
epirubicin,10.0,17.499099300072594,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
nilotinib,10.0,15.938569970285325,EGR1(22); PPARG(18); AKT1(15); SRC(14); HES1(13),low
