drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.10301344277102,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),very_high
docetaxel,10.0,61.67628509412724,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),high
vinorelbine,10.0,54.095005214150596,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),high
vinblastine,10.0,49.60284221335767,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),moderate
temsirolimus,10.0,45.66202824511301,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),moderate
methotrexate,10.0,43.53838743830678,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),moderate
MG-132,10.0,33.43993927346284,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),moderate
lestaurtinib,10.0,32.244386614112884,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),moderate
navitoclax,10.0,30.367416756015444,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),moderate
lapatinib,10.0,28.22013263543184,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
bortezomib,10.0,27.523937067099368,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
ABT-737,10.0,26.436685721999726,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
staurosporine,10.0,25.305429717601594,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
AZD-6482,10.0,25.196629528975656,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
foretinib,10.0,25.143972670291042,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
MK-1775,10.0,23.593781212635694,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
gemcitabine,10.0,21.680519360125537,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
epirubicin,10.0,21.49464311646846,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
sorafenib,10.0,21.22254547016296,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
nilotinib,10.0,19.077345490716024,EGR1(23); CCND1(23); HES1(20); PPARG(19); SRC(17),low
