drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),very_high
sirolimus,1.11,100.0,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),very_high
docetaxel,1.11,67.39816242739707,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),high
paclitaxel,10.0,67.06627280886622,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),high
vinorelbine,10.0,51.50423712377096,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),high
vinblastine,10.0,50.11087581486668,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),high
NVP-BEZ235,10.0,35.69637634079116,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),moderate
NVP-AUY922,1.11,35.02400938645656,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),moderate
lestaurtinib,10.0,34.821422959652786,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),moderate
methotrexate,10.0,34.528786698901584,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),moderate
epirubicin,10.0,33.12339631241783,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),moderate
camptothecin,1.11,31.670569451893297,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),moderate
gemcitabine,10.0,31.569054845867296,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),moderate
staurosporine,10.0,30.565557030298187,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),moderate
GDC-0941,10.0,29.806946853502094,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),low
tanespimycin,10.0,26.929234610191383,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),low
SN-38,1.11,26.366357476835386,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),low
nutlin-3,10.0,25.873058628509806,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),low
topotecan,1.11,23.39708719327341,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),low
lapatinib,10.0,23.376957856221917,EGR1(19); GATA3(16); RB1(15); CCL2(12); EZH2(12),low
