drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.86093702665235,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),high
docetaxel,10.0,60.43420867800859,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),high
vinorelbine,10.0,52.752261254823324,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),high
vinblastine,10.0,48.260098254030396,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),moderate
methotrexate,10.0,43.86960605447213,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),moderate
temsirolimus,10.0,42.863174242030965,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),moderate
MG-132,10.0,33.18637244150958,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),moderate
lestaurtinib,10.0,28.654853268086956,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
navitoclax,10.0,27.448713699436368,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
lapatinib,10.0,26.920686551858488,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
bortezomib,10.0,26.07939523699416,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
AZD-6482,10.0,23.752087698870447,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
ABT-737,10.0,23.517982665420643,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
foretinib,10.0,23.444230931509566,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
MK-1775,10.0,22.179661381199896,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
staurosporine,10.0,21.715896371575734,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
gemcitabine,10.0,20.143791944302663,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
sorafenib,10.0,19.20897122138889,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
epirubicin,10.0,17.905109770442593,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
nilotinib,10.0,17.063771241941946,EGR1(20); PPARG(19); HMGCR(13); HES1(13); CCL2(10),low
