drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),very_high
sirolimus,1.11,99.96984035810586,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),very_high
docetaxel,1.11,68.63736051161476,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),high
paclitaxel,10.0,67.94159439001814,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),high
vinorelbine,10.0,54.85469516735076,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),high
vinblastine,10.0,53.46133385844647,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),high
NVP-BEZ235,10.0,40.48997464286022,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
NVP-AUY922,1.11,40.427652090116105,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
camptothecin,1.11,37.68141549580678,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
methotrexate,10.0,37.28952686821169,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
GDC-0941,10.0,36.06615720386009,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
lestaurtinib,10.0,35.29171574697383,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
epirubicin,10.0,35.03855231181115,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
gemcitabine,10.0,34.711357782149705,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
SN-38,1.11,32.880959546252704,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
staurosporine,10.0,32.85413229680585,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
nutlin-3,10.0,30.318867299692332,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),moderate
tanespimycin,10.0,29.7754794858028,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),low
topotecan,1.11,29.580854584076523,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),low
BI-2536,1.11,28.73081315469836,CCL2(44); JUN(34); PPARG(20); EGR1(19); AKT1(12),low
