drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.51271055109619,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),very_high
sirolimus,1.11,98.22408360568356,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),very_high
docetaxel,1.11,67.32840735168362,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),high
paclitaxel,10.0,66.632641230087,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),high
vinorelbine,10.0,53.838003308871926,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),high
vinblastine,10.0,52.444641999967644,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),high
NVP-AUY922,1.11,38.97766625675991,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
NVP-BEZ235,10.0,38.940049054791004,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
camptothecin,1.11,36.586090436660285,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
methotrexate,10.0,35.44383036107633,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
GDC-0941,10.0,34.56087162237431,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
lestaurtinib,10.0,33.54595899455149,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
epirubicin,10.0,33.2927955593888,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
gemcitabine,10.0,32.86566127501432,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
SN-38,1.11,31.454799808492062,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
staurosporine,10.0,31.008435789670393,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),moderate
nutlin-3,10.0,28.768941711623132,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),low
topotecan,1.11,28.485529524930044,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),low
tanespimycin,10.0,27.929782978667443,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),low
lapatinib,10.0,27.7065292701871,CCL2(37); PPARG(28); AKT1(23); EGR1(21); JUN(20),low
