drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),very_high
sirolimus,1.11,100.0,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),very_high
docetaxel,1.11,67.22190846918099,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),high
paclitaxel,10.0,66.89001885065014,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),high
vinorelbine,10.0,51.327983165554905,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),high
vinblastine,10.0,49.93462185665062,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),moderate
NVP-BEZ235,10.0,35.53740355000516,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),moderate
NVP-AUY922,1.11,34.847755428240504,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),moderate
lestaurtinib,10.0,34.676335595276825,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),moderate
methotrexate,10.0,34.352532740685525,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),moderate
epirubicin,10.0,32.97830894804187,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),moderate
camptothecin,1.11,31.5354227567029,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),moderate
gemcitabine,10.0,31.423967481491324,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),moderate
staurosporine,10.0,30.38930307208212,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),moderate
GDC-0941,10.0,29.647974062716084,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),low
tanespimycin,10.0,26.752980651975317,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),low
SN-38,1.11,26.231210781644982,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),low
nutlin-3,10.0,25.714085837723797,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),low
topotecan,1.11,23.261940498083007,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),low
lapatinib,10.0,23.20070389800585,RB1(17); KDM5A(15); SRC(12); PIK3CA(10); CHEK1(9),low
