drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),very_high
sirolimus,1.11,99.94282035829595,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),very_high
docetaxel,1.11,67.10694121630075,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),high
paclitaxel,10.0,66.41117509470415,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),high
vinorelbine,10.0,50.18268453634958,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),high
vinblastine,10.0,48.7893232274453,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),moderate
NVP-BEZ235,10.0,34.39210492079984,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),moderate
NVP-AUY922,1.11,34.30920632689503,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),moderate
lestaurtinib,10.0,33.51715153966146,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),moderate
methotrexate,10.0,33.20723411148017,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),moderate
epirubicin,10.0,31.819124892426455,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),moderate
camptothecin,1.11,30.973047559761785,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),moderate
gemcitabine,10.0,30.560841486546888,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),moderate
staurosporine,10.0,29.244004442876793,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),low
GDC-0941,10.0,28.798733494181693,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),low
SN-38,1.11,25.66883558470389,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),low
tanespimycin,10.0,25.60768202276999,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),low
nutlin-3,10.0,24.56878720851847,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),low
topotecan,1.11,22.699565301141913,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),low
lapatinib,10.0,22.055405268800524,PPARG(16); KDM5A(11); CHEK1(11); PMAIP1(8); CDK4(7),low
