drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),very_high
sirolimus,1.11,99.6083788764269,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),very_high
docetaxel,1.11,66.7724997344317,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),high
paclitaxel,10.0,66.0767336128351,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),high
vinorelbine,10.0,49.86303788195867,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),moderate
vinblastine,10.0,48.469676573054386,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),moderate
NVP-AUY922,1.11,33.974764845026016,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),moderate
NVP-BEZ235,10.0,33.92755238657148,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),moderate
lestaurtinib,10.0,33.0525990054331,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),moderate
methotrexate,10.0,32.05502267536233,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),moderate
epirubicin,10.0,31.484683410557437,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),moderate
camptothecin,1.11,30.638606077892767,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),moderate
gemcitabine,10.0,30.22640000467787,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),moderate
staurosporine,10.0,28.77945190864843,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),low
GDC-0941,10.0,28.464292012312676,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),low
SN-38,1.11,25.33439410283487,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),low
tanespimycin,10.0,25.27324054090097,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),low
nutlin-3,10.0,24.23434572664945,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),low
topotecan,1.11,22.365123819272895,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),low
lapatinib,10.0,22.15021629529162,CCL2(17); PPARG(14); IKBKB(13); EGR1(11); SRC(10),low
