drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),very_high
temsirolimus,1.11,100.0,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),very_high
docetaxel,1.11,69.31981834480881,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),high
paclitaxel,10.0,68.6240522232122,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),high
vinorelbine,10.0,55.53364338293102,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),high
vinblastine,10.0,54.140282074026736,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),high
NVP-BEZ235,10.0,40.2320985640895,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
NVP-AUY922,1.11,39.351720675904794,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
camptothecin,1.11,36.943152255410865,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
methotrexate,10.0,35.716898629728064,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
lestaurtinib,10.0,35.53736998767673,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
GDC-0941,10.0,34.9417595367205,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
epirubicin,10.0,33.81527579393445,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
gemcitabine,10.0,32.98455094479935,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
SN-38,1.11,31.811861627242642,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
staurosporine,10.0,30.686257466553652,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),moderate
topotecan,1.11,28.842591343680603,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),low
nutlin-3,10.0,28.7394055660074,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),low
tanespimycin,10.0,28.202851247319167,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),low
BI-2536,1.11,27.66171523568835,CCL2(24); PPARG(19); CHEK1(15); EGR1(11); GATA3(10),low
