drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.64506007203286,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),very_high
docetaxel,10.0,61.21833172338904,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),high
vinorelbine,10.0,53.006802748142064,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),high
vinblastine,10.0,48.514639747349136,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),moderate
methotrexate,10.0,45.324965207807935,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),moderate
temsirolimus,10.0,43.7804519933025,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),moderate
MG-132,10.0,34.59817880612712,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),moderate
lestaurtinib,10.0,30.537790052166375,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),moderate
lapatinib,10.0,28.80711040848181,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
navitoclax,10.0,28.10205318869661,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
bortezomib,10.0,27.73612005354132,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
AZD-6482,10.0,25.364019355401293,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
foretinib,10.0,24.62098068796047,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
ABT-737,10.0,24.171322154680883,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
MK-1775,10.0,23.843600622380094,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
staurosporine,10.0,23.65347240325163,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
gemcitabine,10.0,21.947864529860325,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
sorafenib,10.0,20.362926651222995,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
epirubicin,10.0,20.127024089791142,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
nilotinib,10.0,18.164437986105103,CCL2(25); SRC(18); CCND1(12); CDKN1B(12); HSPB1(10),low
