drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.89404811368644,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),high
docetaxel,10.0,60.467319765042674,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),high
vinorelbine,10.0,52.81757775296743,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),high
vinblastine,10.0,48.3254147521745,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),moderate
methotrexate,10.0,44.05165273095554,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),moderate
temsirolimus,10.0,43.06201668674542,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),moderate
MG-132,10.0,33.36841911799299,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),moderate
lestaurtinib,10.0,28.782260696973864,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
navitoclax,10.0,27.575720641065335,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
lapatinib,10.0,27.146088814169737,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
bortezomib,10.0,26.261441913477558,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
AZD-6482,10.0,23.901928964243837,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
ABT-737,10.0,23.64498960704961,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
foretinib,10.0,23.52634319788471,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
MK-1775,10.0,22.346298414804327,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
staurosporine,10.0,21.897943048059133,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
gemcitabine,10.0,20.32583862078607,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
sorafenib,10.0,19.567621561297422,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
epirubicin,10.0,18.08715644692599,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
nilotinib,10.0,17.14588350831709,HES1(10); KDM5A(10); CCL2(10); HSPB1(8); EGR1(8),low
