drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.69552027025321,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),very_high
docetaxel,10.0,61.26879192160945,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),high
vinorelbine,10.0,53.76913619504857,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),high
vinblastine,10.0,49.27697319425564,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),moderate
methotrexate,10.0,45.31807399448811,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),moderate
temsirolimus,10.0,44.566660003691865,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),moderate
MG-132,10.0,35.048067322261865,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),moderate
lestaurtinib,10.0,30.742760116371528,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),moderate
navitoclax,10.0,29.43323252148514,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
lapatinib,10.0,28.576258982620256,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
bortezomib,10.0,27.94109011774646,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
ABT-737,10.0,25.502501487469416,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
AZD-6482,10.0,25.418903134092044,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
foretinib,10.0,24.461105871734834,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
MK-1775,10.0,23.85906456532779,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
staurosporine,10.0,23.85844246745677,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
gemcitabine,10.0,21.592259884318675,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
sorafenib,10.0,20.502384235147545,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
epirubicin,10.0,20.047655866323627,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
nilotinib,10.0,18.080646182167214,PMAIP1(17); SRC(17); HES1(16); EGR1(16); AKT1(15),low
