drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,74.28580646326037,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),very_high
docetaxel,10.0,64.85907811461662,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),high
vinorelbine,10.0,56.73129799613273,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),high
vinblastine,10.0,52.44853836184842,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),high
temsirolimus,10.0,49.26484579984788,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),moderate
methotrexate,10.0,47.96851953884941,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),moderate
MG-132,10.0,38.304467364874725,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),moderate
lestaurtinib,10.0,37.37422976529508,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),moderate
navitoclax,10.0,33.81515685333455,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),moderate
lapatinib,10.0,33.568067119031525,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),moderate
bortezomib,10.0,32.587533263026394,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),moderate
staurosporine,10.0,30.716389158677877,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),moderate
ABT-737,10.0,29.884425819318853,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),low
AZD-6482,10.0,29.603426482526324,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),low
foretinib,10.0,28.791408569659737,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),low
MK-1775,10.0,28.03999800192943,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),low
gemcitabine,10.0,26.89146332506308,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),low
epirubicin,10.0,26.888427947482626,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),low
sorafenib,10.0,25.408553606554324,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),low
nilotinib,10.0,23.15542569383995,CCL2(39); PPARG(36); HES1(34); EGR1(18); AURKA(14),low
