drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.74137457585087,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),high
docetaxel,10.0,59.31464622720709,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),high
vinorelbine,10.0,51.63269880402183,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),high
vinblastine,10.0,47.1405358032289,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),moderate
temsirolimus,10.0,43.491050375136126,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),moderate
methotrexate,10.0,42.92152309032549,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),moderate
MG-132,10.0,32.23828947736291,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),moderate
lestaurtinib,10.0,29.228090153595645,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
navitoclax,10.0,28.021950584945042,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
lapatinib,10.0,25.917964340115372,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
bortezomib,10.0,25.131312272847534,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
ABT-737,10.0,24.091219550929324,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
AZD-6482,10.0,22.791416985817516,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
staurosporine,10.0,22.343772504680892,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
foretinib,10.0,22.32466848070808,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
MK-1775,10.0,21.231578417053264,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
gemcitabine,10.0,19.19570898015603,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
epirubicin,10.0,18.532985903547758,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
sorafenib,10.0,18.365946844120792,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
nilotinib,10.0,15.94420879114048,CCL2(30); PPARG(28); EGR1(18); CDK4(12); RB1(8),low
