drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.84000890486692,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),high
docetaxel,10.0,59.41328055622313,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),high
vinorelbine,10.0,51.85394071742493,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),high
vinblastine,10.0,47.361777716632005,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),moderate
methotrexate,10.0,43.76135614928521,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),moderate
temsirolimus,10.0,42.44109182685145,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),moderate
MG-132,10.0,33.07812253632267,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),moderate
lestaurtinib,10.0,28.54660336290004,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
navitoclax,10.0,27.34046379424945,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
lapatinib,10.0,26.81243664667158,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
bortezomib,10.0,25.971145331807257,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
AZD-6482,10.0,23.643837793683545,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
ABT-737,10.0,23.409732760233734,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
foretinib,10.0,22.23207788411859,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
MK-1775,10.0,21.948803891625918,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
staurosporine,10.0,21.607646466388818,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
gemcitabine,10.0,20.035542039115754,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
sorafenib,10.0,18.310650683990506,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
epirubicin,10.0,17.796859865255676,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
nilotinib,10.0,16.16545070454357,PPARG(32); EGR1(23); CCL2(15); HMGCR(11); TLR4(10),low
