drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.12,100.0,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),very_high
sirolimus,1.11,100.0,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),very_high
docetaxel,1.11,67.40106985840642,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),high
paclitaxel,10.0,66.70530373680981,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),high
vinorelbine,10.0,50.47681317845523,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),high
vinblastine,10.0,49.08345186955095,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),moderate
NVP-AUY922,1.11,34.59650147379937,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),moderate
NVP-BEZ235,10.0,34.53884134311608,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),moderate
lestaurtinib,10.0,33.66388796197771,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),moderate
methotrexate,10.0,33.501362753585816,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),moderate
epirubicin,10.0,32.09597236710207,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),moderate
camptothecin,1.11,31.249895034437387,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),moderate
gemcitabine,10.0,30.837688961222483,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),moderate
GDC-0941,10.0,29.075580968857288,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),low
staurosporine,10.0,28.81277544085464,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),low
SN-38,1.11,25.945683059379483,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),low
tanespimycin,10.0,25.90181066487564,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),low
nutlin-3,10.0,24.838801187992757,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),low
topotecan,1.11,22.976412775817508,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),low
navitoclax,10.0,22.26011519623223,CCL2(19); JUN(16); PPARG(10); RB1(9); AXIN1(8),low
