drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),very_high
sirolimus,1.11,99.03917623450553,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),very_high
docetaxel,1.11,66.21013058771163,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),high
paclitaxel,10.0,65.51436446611503,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),high
vinorelbine,10.0,49.304178352852425,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),moderate
vinblastine,10.0,47.91081704394814,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),moderate
NVP-BEZ235,10.0,33.49529429221078,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),moderate
NVP-AUY922,1.11,33.405562203104665,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),moderate
lestaurtinib,10.0,32.620340911072404,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),moderate
methotrexate,10.0,32.31042348289109,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),moderate
epirubicin,10.0,30.92231426383738,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),moderate
camptothecin,1.11,30.07623693117271,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),moderate
gemcitabine,10.0,29.664030857957812,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),low
GDC-0941,10.0,27.957222613722212,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),low
staurosporine,10.0,27.75194722251926,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),low
SN-38,1.11,24.772024956114812,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),low
tanespimycin,10.0,24.710871394180913,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),low
nutlin-3,10.0,23.665143084728086,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),low
topotecan,1.11,21.802754672552837,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),low
navitoclax,10.0,21.069175925537504,RB1(62); BRCA1(26); EGR1(20); CDK4(19); KDM5A(19),low
