drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),very_high
sirolimus,1.11,99.4093458583733,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),very_high
docetaxel,1.11,66.61731697887969,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),high
paclitaxel,10.0,65.92155085728308,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),high
vinorelbine,10.0,49.743962410577524,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),moderate
vinblastine,10.0,48.35060110167324,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),moderate
NVP-BEZ235,10.0,33.93610162759772,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),moderate
NVP-AUY922,1.11,33.863650705921664,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),moderate
lestaurtinib,10.0,33.06114824645935,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),moderate
methotrexate,10.0,32.76851198570809,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),moderate
epirubicin,10.0,31.363121599224353,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),moderate
camptothecin,1.11,30.517044266559683,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),moderate
gemcitabine,10.0,30.104838193344786,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),moderate
staurosporine,10.0,28.805282317104748,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),low
GDC-0941,10.0,28.398029949109187,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),low
SN-38,1.11,25.212832291501787,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),low
tanespimycin,10.0,25.149224297127702,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),low
nutlin-3,10.0,24.055048308466077,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),low
topotecan,1.11,22.24356200793981,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),low
lapatinib,10.0,22.045935651388593,PMAIP1(22); KDM5A(19); GATA3(16); PPARG(13); EGR1(11),low
