drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.01799358686256,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),very_high
docetaxel,10.0,60.5912652382188,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),high
vinorelbine,10.0,52.90931781503353,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),high
vinblastine,10.0,48.417154814240604,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),moderate
temsirolimus,10.0,45.04659427602489,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),moderate
methotrexate,10.0,44.87881083274679,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),moderate
MG-132,10.0,34.13349963393127,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),moderate
lestaurtinib,10.0,31.143696918004764,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),moderate
navitoclax,10.0,29.9171607415134,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
lapatinib,10.0,27.38282960327816,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
bortezomib,10.0,26.980672082001412,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
ABT-737,10.0,25.986429707497674,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
AZD-6482,10.0,24.640776794971394,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
staurosporine,10.0,24.259379269089955,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
foretinib,10.0,23.663365077572784,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
MK-1775,10.0,22.696443680216053,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
gemcitabine,10.0,21.152996722577363,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
epirubicin,10.0,20.4281960601161,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
sorafenib,10.0,18.98897157386453,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
nilotinib,10.0,17.174977454737725,HES1(28); EGR1(27); CCL2(20); CDKN1B(15); PPARG(14),low
