drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),very_high
sirolimus,1.11,100.0,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),very_high
docetaxel,1.11,67.32694264242913,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),high
paclitaxel,10.0,66.99505302389828,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),high
vinorelbine,10.0,51.45132178389493,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),high
vinblastine,10.0,50.05796047499065,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),high
NVP-BEZ235,10.0,35.495045503463885,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),moderate
NVP-AUY922,1.11,34.95278960148863,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),moderate
lestaurtinib,10.0,34.62009212232551,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),moderate
methotrexate,10.0,34.457566913933654,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),moderate
epirubicin,10.0,33.052176527449895,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),moderate
camptothecin,1.11,31.5993496669254,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),moderate
gemcitabine,10.0,31.497835060899355,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),moderate
staurosporine,10.0,30.3642261929709,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),moderate
GDC-0941,10.0,29.79102681666375,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),low
tanespimycin,10.0,26.858014825223442,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),low
SN-38,1.11,26.295137691867446,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),low
nutlin-3,10.0,25.801838843541866,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),low
topotecan,1.11,23.32586740830547,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),low
lapatinib,10.0,23.305738071253977,RB1(27); HSPB1(15); HDAC2(15); AKT1(14); SRC(14),low
