drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),very_high
sirolimus,1.11,99.92902324413255,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),very_high
docetaxel,1.11,67.1172587647687,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),high
paclitaxel,10.0,66.4214926431721,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),high
vinorelbine,10.0,50.193002084817515,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),high
vinblastine,10.0,48.79964077591323,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),moderate
NVP-BEZ235,10.0,34.38514130183771,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),moderate
NVP-AUY922,1.11,34.312690380161655,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),moderate
lestaurtinib,10.0,33.52407334710938,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),moderate
methotrexate,10.0,33.2175516599481,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),moderate
epirubicin,10.0,31.826046699874368,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),moderate
camptothecin,1.11,30.989910036395266,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),moderate
gemcitabine,10.0,30.5677632939948,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),moderate
staurosporine,10.0,29.254321991344725,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),low
GDC-0941,10.0,28.847069623349164,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),low
SN-38,1.11,25.68569806133737,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),low
tanespimycin,10.0,25.61799957123792,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),low
nutlin-3,10.0,24.554990094355038,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),low
topotecan,1.11,22.716427777775394,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),low
lapatinib,10.0,22.065722817268455,CCL2(32); STAT3(11); EZH2(11); AXIN1(10); CHEK1(8),low
