drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),very_high
sirolimus,1.11,100.0,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),very_high
docetaxel,1.11,67.46545528251923,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),high
paclitaxel,10.0,67.13356566398838,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),high
vinorelbine,10.0,51.62243209054215,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),high
vinblastine,10.0,50.229070781637866,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),high
NVP-BEZ235,10.0,35.814571307562346,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),moderate
NVP-AUY922,1.11,35.13537085802644,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),moderate
lestaurtinib,10.0,34.93961792642397,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),moderate
methotrexate,10.0,34.64698166567277,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),moderate
epirubicin,10.0,33.24159127918902,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),moderate
camptothecin,1.11,31.812590514260076,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),moderate
gemcitabine,10.0,31.687249812638456,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),moderate
staurosporine,10.0,30.08850540530089,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),moderate
GDC-0941,10.0,29.92514182027326,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),low
tanespimycin,10.0,27.02769397709231,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),low
SN-38,1.11,26.508378539202152,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),low
nutlin-3,10.0,25.933517988430676,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),low
topotecan,1.11,23.539108255640176,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),low
navitoclax,10.0,23.405734108319134,RB1(28); JUN(18); HES1(15); EGR1(13); AXIN1(9),low
