drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.27900532118447,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),very_high
sirolimus,1.11,98.01420447136744,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),very_high
docetaxel,1.11,65.181720471516,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),high
paclitaxel,10.0,64.48595434991942,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),high
vinorelbine,10.0,48.024001028040786,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),moderate
vinblastine,10.0,46.89961683062622,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),moderate
NVP-AUY922,1.11,33.71262376710945,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),moderate
methotrexate,10.0,32.97533839640188,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),moderate
NVP-BEZ235,10.0,32.97385284854623,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),moderate
lestaurtinib,10.0,31.595369147934175,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),moderate
epirubicin,10.0,31.212094660412095,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),moderate
camptothecin,1.11,30.366017327747425,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),moderate
gemcitabine,10.0,30.167644942028833,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),moderate
staurosporine,10.0,29.15778569776611,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),low
GDC-0941,10.0,28.24700301029693,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),low
tanespimycin,10.0,25.52146327765931,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),low
SN-38,1.11,25.06180535268953,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),low
nutlin-3,10.0,24.45845380077642,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),low
lapatinib,10.0,22.398439032049954,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),low
topotecan,1.11,22.092535069127553,JUN(31); PPARG(30); HSPB1(14); AKT1(13); CASP3(11),low
