drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),very_high
sirolimus,1.11,100.0,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),very_high
docetaxel,1.11,67.20969893398548,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),high
paclitaxel,10.0,66.51393281238887,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),high
vinorelbine,10.0,50.32095660200001,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),high
vinblastine,10.0,48.92759529309573,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),moderate
NVP-BEZ235,10.0,34.515582158972165,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),moderate
NVP-AUY922,1.11,34.43268356506736,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),moderate
lestaurtinib,10.0,33.64062877783379,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),moderate
methotrexate,10.0,33.330711349652496,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),moderate
epirubicin,10.0,31.942602130598747,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),moderate
camptothecin,1.11,31.120350893529718,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),moderate
gemcitabine,10.0,30.663599204231627,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),moderate
staurosporine,10.0,29.367481681049114,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),low
GDC-0941,10.0,28.922210732354014,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),low
SN-38,1.11,25.816138918471815,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),low
tanespimycin,10.0,25.731159260942317,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),low
nutlin-3,10.0,24.69226444669079,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),low
topotecan,1.11,22.84686863490984,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),low
lapatinib,10.0,22.178882506972844,PPARG(25); KDM5A(15); PMAIP1(12); HES1(10); EGR1(9),low
