drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.35443234703278,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),high
docetaxel,10.0,59.92770399838905,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),high
vinorelbine,10.0,52.428048271828175,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),high
vinblastine,10.0,47.93588527103525,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),moderate
methotrexate,10.0,44.13500625757456,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),moderate
temsirolimus,10.0,43.16898800690475,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),moderate
MG-132,10.0,33.91084993276277,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),moderate
lestaurtinib,10.0,29.399727367180862,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
navitoclax,10.0,28.06980316445379,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
lapatinib,10.0,27.447830493303176,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
bortezomib,10.0,26.758022380832895,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
AZD-6482,10.0,24.248423146084793,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
ABT-737,10.0,24.139072130438066,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
foretinib,10.0,23.074167601099962,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
MK-1775,10.0,22.675996828414235,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
staurosporine,10.0,22.460770470669647,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
gemcitabine,10.0,20.40919214740512,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
sorafenib,10.0,19.170085212109164,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
epirubicin,10.0,18.6295872616958,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
nilotinib,10.0,16.69370791153235,HDAC2(39); CCL2(25); CCND1(15); PPARG(14); RB1(13),low
