drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.14108769035379,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),high
docetaxel,10.0,59.714359341710015,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),high
vinorelbine,10.0,52.365456132613154,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),high
vinblastine,10.0,47.87329313182022,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),moderate
temsirolimus,10.0,44.0727248249133,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),moderate
methotrexate,10.0,43.43695058484749,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),moderate
MG-132,10.0,32.799567319299406,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),moderate
lestaurtinib,10.0,29.864403850969325,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
navitoclax,10.0,28.116839781166313,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
lapatinib,10.0,26.488031082233853,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
bortezomib,10.0,25.646739767369525,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
ABT-737,10.0,24.186108747150588,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
AZD-6482,10.0,23.319432229245812,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
staurosporine,10.0,22.925446954458074,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
foretinib,10.0,22.49054756857325,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
MK-1775,10.0,21.413961697486858,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
gemcitabine,10.0,19.711136474678028,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
sorafenib,10.0,19.107493072894126,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
epirubicin,10.0,19.09426374548422,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
nilotinib,10.0,16.63111577231731,CCND1(19); KDM5A(17); HES1(14); HMGCR(10); AKT1(10),low
