drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),very_high
sirolimus,1.11,99.42222041645103,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),very_high
docetaxel,1.11,66.16959292119184,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),high
paclitaxel,10.0,65.83770330266094,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),high
vinorelbine,10.0,50.29046244504389,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),high
vinblastine,10.0,48.89710113613961,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),moderate
NVP-AUY922,1.11,35.10335854476299,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),moderate
methotrexate,10.0,35.01855991716992,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),moderate
NVP-BEZ235,10.0,34.88867856677665,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),moderate
lestaurtinib,10.0,33.61013462087767,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),moderate
epirubicin,10.0,33.22686013335562,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),moderate
gemcitabine,10.0,32.07610923156568,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),moderate
camptothecin,1.11,31.77403327283106,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),moderate
staurosporine,10.0,31.055330248566488,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),moderate
GDC-0941,10.0,29.910410674439852,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),low
tanespimycin,10.0,27.419007828459684,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),low
SN-38,1.11,26.469821297773144,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),low
nutlin-3,10.0,26.37327951900685,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),low
lapatinib,10.0,23.866731074490225,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),low
navitoclax,10.0,23.777312359816268,CCL2(21); KDM5A(19); RB1(18); EGR1(16); AKT1(14),low
