drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),very_high
sirolimus,1.11,99.60456199522193,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),very_high
docetaxel,1.11,66.80569962052702,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),high
paclitaxel,10.0,66.10993349893042,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),high
vinorelbine,10.0,49.947139879702966,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),moderate
vinblastine,10.0,48.553778570798684,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),moderate
NVP-BEZ235,10.0,34.756912478127376,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),moderate
NVP-AUY922,1.11,34.058866842770314,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),moderate
methotrexate,10.0,33.443645866270174,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),moderate
lestaurtinib,10.0,33.24953088810669,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),moderate
epirubicin,10.0,31.397325642004976,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),moderate
gemcitabine,10.0,30.77147044500772,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),moderate
camptothecin,1.11,30.729253003802626,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),moderate
staurosporine,10.0,29.626093167634394,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),low
GDC-0941,10.0,28.586412590756517,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),low
tanespimycin,10.0,25.97003514765735,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),low
SN-38,1.11,25.425041028744722,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),low
nutlin-3,10.0,24.88269265419703,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),low
lapatinib,10.0,22.866746501918232,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),low
topotecan,1.11,22.455770745182754,HSPB1(18); GATA3(12); CHEK1(12); JUN(10); EGR1(10),low
