drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),very_high
sirolimus,1.11,100.0,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),very_high
docetaxel,1.11,67.32600126915553,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),high
paclitaxel,10.0,66.63023514755892,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),high
vinorelbine,10.0,49.18101651948456,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),moderate
vinblastine,10.0,47.787655210580276,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),moderate
NVP-AUY922,1.11,35.03572478154529,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),moderate
NVP-BEZ235,10.0,34.98851232309075,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),moderate
lestaurtinib,10.0,34.11355894195238,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),moderate
epirubicin,10.0,32.39146474821004,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),moderate
camptothecin,1.11,31.699566014412078,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),moderate
methotrexate,10.0,31.683312865341563,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),moderate
gemcitabine,10.0,30.582956263275367,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),moderate
staurosporine,10.0,29.840411845167722,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),low
GDC-0941,10.0,29.06698545791249,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),low
SN-38,1.11,26.395354039354164,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),low
tanespimycin,10.0,25.783975398365182,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),low
nutlin-3,10.0,24.11021596658149,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),low
topotecan,1.11,23.426083755792188,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),low
lapatinib,10.0,22.752909740891436,RB1(25); CHEK1(22); PPARG(22); JUN(20); CCL2(16),low
