drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.82439671557482,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),high
docetaxel,10.0,60.39766836693104,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),high
vinorelbine,10.0,52.7479263548558,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),high
vinblastine,10.0,48.25576335406287,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),moderate
temsirolimus,10.0,44.919555516321985,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),moderate
methotrexate,10.0,44.81801902829908,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),moderate
MG-132,10.0,34.02685748206909,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),moderate
lestaurtinib,10.0,31.016658158301812,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),moderate
navitoclax,10.0,29.81051858965118,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
lapatinib,10.0,27.706532344821504,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
bortezomib,10.0,26.919880277553666,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
ABT-737,10.0,25.879787555635463,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
AZD-6482,10.0,24.54777957941364,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
staurosporine,10.0,24.13234050938703,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
foretinib,10.0,23.54782396480948,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
MK-1775,10.0,22.98794101064938,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
gemcitabine,10.0,21.092204918129617,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
epirubicin,10.0,20.321553908253897,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
sorafenib,10.0,19.25792500709232,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
nilotinib,10.0,17.059436341974422,PPARG(41); SRC(33); HSPB1(25); CCL2(17); PMAIP1(15),low
