drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,67.65530250598272,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),high
docetaxel,10.0,58.22857415733893,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),high
vinorelbine,10.0,50.57883214526369,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),high
vinblastine,10.0,46.08666914447076,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),moderate
methotrexate,10.0,42.369517398784666,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),moderate
temsirolimus,10.0,42.32080966757696,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),moderate
MG-132,10.0,31.68628378582213,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),moderate
lestaurtinib,10.0,28.112488693632976,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
navitoclax,10.0,26.906349124982373,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
lapatinib,10.0,25.420597896171035,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
bortezomib,10.0,24.579306581306714,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
ABT-737,10.0,22.97561809096665,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
AZD-6482,10.0,22.20720588316668,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
foretinib,10.0,21.27080182194995,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
staurosporine,10.0,21.173531797121747,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
MK-1775,10.0,20.647367314402434,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
gemcitabine,10.0,18.643703288615217,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
sorafenib,10.0,17.366719432959144,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
epirubicin,10.0,17.362745195988605,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
nilotinib,10.0,14.89034213238233,PPARG(54); HES1(27); EGR1(19); CDK4(19); PMAIP1(18),low
