drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.05744718234435,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),high
docetaxel,10.0,59.630718833700556,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),high
vinorelbine,10.0,51.98097682162531,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),high
vinblastine,10.0,47.488813820832384,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),moderate
temsirolimus,10.0,44.35798512818797,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),moderate
methotrexate,10.0,43.77166207514629,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),moderate
MG-132,10.0,33.08842846218375,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),moderate
lestaurtinib,10.0,30.132868386012937,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),moderate
navitoclax,10.0,28.926328330104372,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
lapatinib,10.0,26.920737405956984,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
bortezomib,10.0,25.981451257668322,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
ABT-737,10.0,24.995597296088647,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
AZD-6482,10.0,23.609350559528295,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
staurosporine,10.0,23.193911489501694,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
foretinib,10.0,22.689742266542606,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
MK-1775,10.0,22.06630775899509,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
gemcitabine,10.0,20.045847964976833,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
epirubicin,10.0,19.38312488836856,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
sorafenib,10.0,18.7856598775518,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
nilotinib,10.0,16.309282576974987,SRC(22); PPARG(14); PMAIP1(13); FYN(10); AKT1(10),low
