drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),very_high
sirolimus,1.11,99.55896173907276,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),very_high
docetaxel,1.11,68.65283781284406,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),high
paclitaxel,10.0,67.95707169124745,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),high
vinorelbine,10.0,55.162433770032436,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),high
vinblastine,10.0,53.769072461128154,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),high
NVP-BEZ235,10.0,40.51059832750328,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
NVP-AUY922,1.11,38.98051106300621,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
camptothecin,1.11,36.58922380994234,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
methotrexate,10.0,35.536669336678024,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
lestaurtinib,10.0,34.88767062314206,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
GDC-0941,10.0,34.64313083938156,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
epirubicin,10.0,33.31975502826647,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
gemcitabine,10.0,33.12145838801369,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
SN-38,1.11,31.457933181774145,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
staurosporine,10.0,31.24695173523971,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),moderate
nutlin-3,10.0,29.017905329421176,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),low
topotecan,1.11,28.488662898212077,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),low
tanespimycin,10.0,28.168298924236744,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),low
lapatinib,10.0,27.945045215756394,CCL2(26); JUN(22); KDM5A(20); GATA3(16); CASP3(15),low
