drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.47277422066263,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),very_high
docetaxel,10.0,63.04604587201886,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),high
vinorelbine,10.0,54.817598210326395,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),high
vinblastine,10.0,50.534838576042084,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),high
methotrexate,10.0,48.057965273088485,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),moderate
temsirolimus,10.0,46.664709994657535,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),moderate
MG-132,10.0,38.27001533865387,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),moderate
lestaurtinib,10.0,33.98341461716092,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),moderate
lapatinib,10.0,32.14909164261393,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),moderate
bortezomib,10.0,31.407956586068078,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),moderate
navitoclax,10.0,31.115568602487887,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),moderate
AZD-6482,10.0,28.423849805567986,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),low
staurosporine,10.0,27.325574010543697,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),low
ABT-737,10.0,27.18483756847216,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),low
foretinib,10.0,26.56656135181365,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),low
MK-1775,10.0,26.506348777649393,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),low
gemcitabine,10.0,25.619701062387076,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),low
epirubicin,10.0,23.518009407189158,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),low
sorafenib,10.0,22.816556653854427,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),low
tanespimycin,10.0,21.098818761361695,CCL2(39); RB1(28); HSPB1(13); HES1(13); AKT1(12),low
